image_path	crop_label	content_class
6000-lilith-scans-public-patents/lynn_conway_us5046022_1bitoriginal/6007_scans-patents_lynn-conway-us5046022-1bit_p008_2320x3408.png	full	6000-lilith-scans-public-patents
6000-lilith-scans-public-patents/lynn_conway_us5046022_1bitoriginal/6009_scans-patents_lynn-conway-us5046022-1bit_p010_2320x3408.png	full	6000-lilith-scans-public-patents
6000-lilith-scans-public-patents/lynn_conway_us5046022_1bitoriginal/6017_scans-patents_lynn-conway-us5046022-1bit_p018_2320x3408.png	full	6000-lilith-scans-public-patents
6600-ia-scans-manuscript-illustrations/6607_scans-illustrations_haeckel-radiolaria-spheres_plate0090_4918x7246.png	full	6600-ia-scans-manuscript-illustrations
6600-ia-scans-manuscript-illustrations/6609_scans-illustrations_hokusai-insects-creatures_plate0019_6234x4925.png	full	6600-ia-scans-manuscript-illustrations
6600-ia-scans-manuscript-illustrations/6617_scans-illustrations_owenjones-persian-medallion_plate0556_2055x3000.png	full	6600-ia-scans-manuscript-illustrations
6800-ia-scans-manuscript-text/6807_scans-text_hokusai-ja-woodblock_p0029_6166x4857.png	full	6800-ia-scans-manuscript-text
6800-ia-scans-manuscript-text/6809_scans-text_owenjones-en-title_p0008_2002x3000.png	full	6800-ia-scans-manuscript-text
6800-ia-scans-manuscript-text/6817_scans-text_owenjones-en-essay_p0043_2027x3000.png	full	6800-ia-scans-manuscript-text
7000-lilith-plots/aliased-lines/7007_plots_line-00020-s1aac7045_1024x1024.png	full	7000-lilith-plots
7000-lilith-plots/aliased-lines/7009_plots_line-00057-s0433bb30_1024x1024.png	full	7000-lilith-plots
7000-lilith-plots/aliased-lines/7017_plots_line-00230-s6a3b9505_1024x1024.png	full	7000-lilith-plots
8000-lilith-mobile-screenshots/8007_mobile-screenshots_imageflow-site-layout_screenshot-20260526-070339-brave_1080x2520.png	full	8000-lilith-mobile-screenshots
8000-lilith-mobile-screenshots/8009_mobile-screenshots_yellowstone-national-park_screenshot-20260526-070456-maps_1080x2520.png	full	8000-lilith-mobile-screenshots
8000-lilith-mobile-screenshots/8017_mobile-screenshots_zenbench-benchmark-results_screenshot-20260526-071330-brave_1968x2184.png	full	8000-lilith-mobile-screenshots
8100-lilith-web-screenshots/1440x900/8107_web-screenshots_climate-news_dpr1_page2_1440x900.png	full	8100-lilith-web-screenshots
8100-lilith-web-screenshots/1440x900/8109_web-screenshots_datagov-catalog_dpr1_page2_1440x900.png	full	8100-lilith-web-screenshots
8100-lilith-web-screenshots/1440x900/8117_web-screenshots_loc-free-to-use_dpr1_page2_1440x900.png	full	8100-lilith-web-screenshots
9000-lilith-ai-clipart/9007_gen_clipart_boba-tea-cup_1024x1024.png	full	9000-lilith-ai-clipart
9000-lilith-ai-clipart/9009_gen_clipart_book-stack_1024x1536.png	full	9000-lilith-ai-clipart
9000-lilith-ai-clipart/9017_gen_clipart_dandelion-puff_1024x1536.png	full	9000-lilith-ai-clipart
9094-lilith-ai-illustrations/9097_gen_illustrations_autumn-deciduous-path_1024x1536.png	full	9094-lilith-ai-illustrations
9094-lilith-ai-illustrations/9099_gen_illustrations_ballet-shoes-ribbon-flat-lay_1024x1536.png	full	9094-lilith-ai-illustrations
9094-lilith-ai-illustrations/9107_gen_illustrations_choir-scene-cathedral_1024x1536.png	full	9094-lilith-ai-illustrations
9226-lilith-ai-products/accessories/9227_gen_products-accessories_bucket-hat-checkerboard_p0002_1024x1536.png	full	9226-lilith-ai-products
9226-lilith-ai-products/accessories/9229_gen_products-accessories_chunky-gold-statement-necklace_p0004_2880x2880.png	full	9226-lilith-ai-products
9226-lilith-ai-products/accessories/9237_gen_products-accessories_marigold-statement-belt_p0011_3840x2160.png	full	9226-lilith-ai-products
9226-lilith-ai-products/accessories/9239_gen_products-accessories_merch-enamel-pins_flat_p0013_2048x1152.png	full	9226-lilith-ai-products
9226-lilith-ai-products/accessories/9247_gen_products-accessories_sculptural-gold-hoops_p0020_2880x2880.png	full	9226-lilith-ai-products
9226-lilith-ai-products/accessories/9249_gen_products-accessories_straw-sun-hat_p0022_2048x2048.png	full	9226-lilith-ai-products
9226-lilith-ai-products/accessories/9257_gen_products-accessories_woven-beach-tote_p0029_1536x2816.png	full	9226-lilith-ai-products
