id	split	content_class	path
1054	train	1000-lilith-photos-general	1000-lilith-photos-general/1054_general_modern-art-museum-exterior-paris_s23u_iso10-f1p7_20240427-165529_4000x3000.jpg
1055	validate	1000-lilith-photos-general	1000-lilith-photos-general/1055_general_bread-and-coffee-table_blue-lagoon-grindavik_s23u_iso50-f2p2_20240429-174632_4000x3000.jpg
1056	train	1000-lilith-photos-general	1000-lilith-photos-general/1056_general_flower-bouquet-and-cards_colorado_s23u_iso80-f2p4_20240505-172513_4000x3000.jpg
1057	test	1000-lilith-photos-general	1000-lilith-photos-general/1057_general_dragon-statue-in-garden_placa-pedro-infante-valladolid_s23u_iso640-f1p7_20240528-210945_4000x3000.jpg
1058	train	1000-lilith-photos-general	1000-lilith-photos-general/1058_general_balcony-building-facade_waikiki-beach-east-honolulu_s23u_iso25-f1p7_20241104-163816_4000x3000.jpg
1059	test	1000-lilith-photos-general	1000-lilith-photos-general/1059_general_colorful-sailboat-sails_waikiki-mlcd-east-honolulu_s23u_iso10-f1p7_20241112-171358_2841x3788.jpg
1060	train	1000-lilith-photos-general	1000-lilith-photos-general/1060_general_tiered-floral-cake_colorado_s23u_iso125-f1p7_20250202-141907_4000x3000.jpg
1061	validate	1000-lilith-photos-general	1000-lilith-photos-general/1061_general_city-skyline-at-dusk_tokyo-skytree-sumida_s23u_iso320-f2p4_20250228-174759_4000x3000.jpg
1062	train	1000-lilith-photos-general	1000-lilith-photos-general/1062_general_boat-on-water_numazu-japan_s23u_iso50-f2p2_20250307-173047_4000x3000.jpg
1063	validate	1000-lilith-photos-general	1000-lilith-photos-general/1063_general_uefi-bios-boot-menu_colorado_s23u_iso640-f1p7_20250416-033546_4000x2763.jpg
1064	train	1000-lilith-photos-general	1000-lilith-photos-general/1064_general_castle-bridge-moat_montjuic-castle-barcelona_zfold7_iso40-f1p7_20260315-175347_4000x3000.jpg
1065	validate	1000-lilith-photos-general	1000-lilith-photos-general/1065_general_cathedral-model-workshop_sagrada-familia-barcelona_zfold7_iso64-f1p7_20260317-165822_4000x3000.jpg
1066	train	1000-lilith-photos-general	1000-lilith-photos-general/1066_general_stone-building-facade_park-guell-barcelona_zfold7_iso80-f1p7_20260318-172109_4000x3000.jpg
1067	test	1000-lilith-photos-general	1000-lilith-photos-general/1067_general_architectural-model-display_la-pedrera-barcelona_zfold7_iso500-f1p7_20260319-185645_4000x3000.jpg
1068	train	1000-lilith-photos-general	1000-lilith-photos-general/1068_general_glowing-blue-glass-sphere_house-eternal-return-meow-wolf-santa-fe_ip8plus_iso100-f1p8_img-7632_4032x3024.heic
1069	test	1000-lilith-photos-general	1000-lilith-photos-general/1069_general_illuminated-castle-night_cinderella-castle-orange_ip13pro_iso500-f1p5_img-7653_2870x3827.heic
1070	train	1000-lilith-photos-general	1000-lilith-photos-general/1070_general_stone-temple-ruins_ip13pro_iso50-f1p5_img-8852_4032x3024.heic
1071	validate	1000-lilith-photos-general	1000-lilith-photos-general/1071_general_illuminated-castle-night_flight-hippogriff-orlando_ip8plus_iso160-f1p8_img-9988_4032x3024.heic
1200	train	1200-lilith-interiors	1200-lilith-interiors/1200_interiors_reflective-egg-sculptures_s23u_iso10-f1p7_20230704-121114_4000x3000.jpg
1201	validate	1200-lilith-interiors	1200-lilith-interiors/1201_interiors_bar-sign-outside-window_shinjuku-2-shinjuku-japan_s23u_iso12-f1p7_20230706-124619_4000x3000.jpg
1202	train	1200-lilith-interiors	1200-lilith-interiors/1202_interiors_abstract-textured-pattern_seattle-center-seattle_s23u_iso1000-f1p7_20230727-164305_4000x3000.jpg
1203	validate	1200-lilith-interiors	1200-lilith-interiors/1203_interiors_person-in-room_belltown-seattle-washington_s23u_iso800-f1p7_20230727-165257_4000x3000.jpg
1204	train	1200-lilith-interiors	1200-lilith-interiors/1204_interiors_rustic-outdoor-dining-area_s23u_iso125-f2p2_20230915-124518_4000x3000.jpg
1205	validate	1200-lilith-interiors	1200-lilith-interiors/1205_interiors_modern-living-room_tulum-mexico_s23u_iso160-f1p7_20230917-114545_4000x3000.jpg
1206	train	1200-lilith-interiors	1200-lilith-interiors/1206_interiors_tree-like-sculpture-ceiling_azulik-city-arts-francisco-uh-may_s23u_iso80-f2p2_20230917-143302_4000x3000.jpg
1207	test	1200-lilith-interiors	1200-lilith-interiors/1207_interiors_bedroom-with-bed_hotel-zentik-project-valladolid_s23u_iso1600-f1p7_20230917-183439_4000x3000.jpg
1208	train	1200-lilith-interiors	1200-lilith-interiors/1208_interiors_woven-hammock-by-beach_hotel-zentik-project-valladolid_s23u_iso20-f1p7_20230918-110558_4000x3000.jpg
1209	test	1200-lilith-interiors	1200-lilith-interiors/1209_interiors_traditional-tiled-roof-building_himeji-castle-himeji_s23u_iso64-f2p2_20231105-153905_4000x3000.heic
1210	train	1200-lilith-interiors	1200-lilith-interiors/1210_interiors_sunlit-living-room_square-du-temple-elie-wiesel-paris_s23u_iso100-f1p7_20240421-153756_4000x3000.jpg
1211	validate	1200-lilith-interiors	1200-lilith-interiors/1211_interiors_ornate-chandelier-ceiling_s23u_iso160-f2p4_20240423-192716_4000x3000.jpg
1212	train	1200-lilith-interiors	1200-lilith-interiors/1212_interiors_ornate-ceiling-mural_opera-garnier-paris_s23u_iso800-f1p7_20240423-220507_4000x3000.jpg
1213	validate	1200-lilith-interiors	1200-lilith-interiors/1213_interiors_ornate-painted-ceiling_opera-garnier-paris_s23u_iso800-f2p4_20240423-220536_4000x3000.jpg
1214	train	1200-lilith-interiors	1200-lilith-interiors/1214_interiors_ornate-painted-ceiling_queen-s-grand-apartment-versailles_s23u_iso80-f2p2_20240424-123020_3000x3556.jpg
1215	validate	1200-lilith-interiors	1200-lilith-interiors/1215_interiors_living-room-interior_square-du-temple-elie-wiesel-paris_s23u_iso25-f1p7_20240429-114925_4000x3000.jpg
1216	train	1200-lilith-interiors	1200-lilith-interiors/1216_interiors_ornate-standing-mirror_square-du-temple-elie-wiesel-paris_s23u_iso200-f1p7_20240429-114934-1_4000x3000.jpg
1217	test	1200-lilith-interiors	1200-lilith-interiors/1217_interiors_modern-lounge-seating-area_s23u_iso640-f1p7_20240429-231830_4000x3000.jpg
1218	train	1200-lilith-interiors	1200-lilith-interiors/1218_interiors_bathroom-sinks-mirror_las-5-calles-valladolid_s23u_iso320-f1p7_20240529-081045_3000x4000.jpg
1219	test	1200-lilith-interiors	1200-lilith-interiors/1219_interiors_kitchen-dining-area_las-5-calles-valladolid_s23u_iso160-f1p7_20240529-081209_4000x3000.jpg
1220	train	1200-lilith-interiors	1200-lilith-interiors/1220_interiors_tree-covered-walkway_azulik-city-arts-francisco-uh-may_s23u_iso400-f2p2_20240601-153248_4000x3000.jpg
1221	validate	1200-lilith-interiors	1200-lilith-interiors/1221_interiors_hotel-room-bed_hilton-waikiki-beach-east-honolulu_s23u_iso100-f1p7_20241107-134702_4000x3000.jpg
1222	train	1200-lilith-interiors	1200-lilith-interiors/1222_interiors_japanese-style-room_tatsuta-izu_s23u_iso320-f2p2_20250304-160906_4000x3000.jpg
1223	validate	1200-lilith-interiors	1200-lilith-interiors/1223_interiors_ocean-view-dining-room_monument-wakayama-bokusui-s-poem-shimoda_s23u_iso20-f1p7_20250306-090336_4000x3000.jpg
1224	train	1200-lilith-interiors	1200-lilith-interiors/1224_interiors_screened-porch-ocean-view_minamiizu-japan_s23u_iso16-f1p7_20250306-162953_4000x3000.jpg
1225	validate	1200-lilith-interiors	1200-lilith-interiors/1225_interiors_kitchen-appliances-overhead_minamiizu-japan_s23u_iso200-f1p7_20250307-112014_4000x3000.jpg
1226	train	1200-lilith-interiors	1200-lilith-interiors/1226_interiors_hotel-lobby-interior_mt-awashima-numazu_s23u_iso250-f2p2_20250307-195449_4000x3000.jpg
1227	test	1200-lilith-interiors	1200-lilith-interiors/1227_interiors_stained-glass-window_casa-batllo-barcelona_zfold7_iso1600-f1p7_20260315-205230_4000x3000.jpg
1228	train	1200-lilith-interiors	1200-lilith-interiors/1228_interiors_stained-glass-windows_casa-batllo-barcelona_zfold7_iso2500-f1p7_20260315-205328_4000x3000.jpg
1229	test	1200-lilith-interiors	1200-lilith-interiors/1229_interiors_lighted-archway-ceiling_casa-batllo-barcelona_zfold7_iso1250-f1p7_20260315-210321_4000x3000.jpg
1230	train	1200-lilith-interiors	1200-lilith-interiors/1230_interiors_empty-tiled-pool_casa-batllo-barcelona_zfold7_iso640-f1p7_20260315-210432_4000x3000.jpg
1231	validate	1200-lilith-interiors	1200-lilith-interiors/1231_interiors_tiled-arched-interior_casa-batllo-barcelona_zfold7_iso640-f2p2_20260315-211323_4000x2252.jpg
1232	train	1200-lilith-interiors	1200-lilith-interiors/1232_interiors_stained-glass-windows_sagrada-familia-barcelona_zfold7_iso400-f1p7_20260317-144409_4000x3000.jpg
1233	validate	1200-lilith-interiors	1200-lilith-interiors/1233_interiors_cathedral-ceiling-interior_sagrada-familia-barcelona_zfold7_iso250-f2p2_20260317-151912_4000x3000.jpg
1234	train	1200-lilith-interiors	1200-lilith-interiors/1234_interiors_cathedral-ceiling-columns_sagrada-familia-barcelona_zfold7_iso400-f1p7_20260317-154023_4000x3000.jpg
1235	validate	1200-lilith-interiors	1200-lilith-interiors/1235_interiors_floral-wall-mural_casa-vicens-barcelona_zfold7_iso1600-f1p7_20260319-165522_4000x3000.jpg
1236	train	1200-lilith-interiors	1200-lilith-interiors/1236_interiors_ornate-arched-interior_casa-vicens-barcelona_zfold7_iso400-f2p2_20260319-165702_4000x3000.jpg
1237	test	1200-lilith-interiors	1200-lilith-interiors/1237_interiors_person-standing-by-window_casa-vicens-barcelona_zfold7_iso800-f2p2_20260319-170017_4000x3000.jpg
1238	train	1200-lilith-interiors	1200-lilith-interiors/1238_interiors_open-doorway-interior_casa-vicens-barcelona_zfold7_iso250-f2p2_20260319-170237_4000x3000.jpg
1239	test	1200-lilith-interiors	1200-lilith-interiors/1239_interiors_decorative-coffered-ceiling_casa-vicens-barcelona_zfold7_iso800-f2p2_20260319-170252_4000x3000.jpg
1240	train	1200-lilith-interiors	1200-lilith-interiors/1240_interiors_bathroom-with-bathtub_casa-vicens-barcelona_zfold7_iso1000-f2p2_20260319-170336_4000x3000.jpg
1241	validate	1200-lilith-interiors	1200-lilith-interiors/1241_interiors_living-room-sofa_la-pedrera-barcelona_zfold7_iso1000-f1p7_20260319-183640_4000x3000.jpg
1242	train	1200-lilith-interiors	1200-lilith-interiors/1242_interiors_storage-room-clutter_la-pedrera-barcelona_zfold7_iso640-f2p2_20260319-183704_4000x3000.jpg
1243	validate	1200-lilith-interiors	1200-lilith-interiors/1243_interiors_vintage-living-room_la-pedrera-barcelona_zfold7_iso400-f2p2_20260319-183921_4000x3000.jpg
1244	train	1200-lilith-interiors	1200-lilith-interiors/1244_interiors_painted-ceiling-columns_la-pedrera-barcelona_zfold7_iso800-f1p7_20260319-194130_4000x3000.jpg
1245	validate	1200-lilith-interiors	1200-lilith-interiors/1245_interiors_circular-building-interior_la-pedrera-barcelona_zfold7_iso1000-f2p2_20260319-194139_4000x3000.jpg
1246	train	1200-lilith-interiors	1200-lilith-interiors/1246_interiors_woven-roof-structure_azulik-city-arts-francisco-uh-may_ip13pro_iso32-f1p8_img-8944_4032x3024.heic
1247	test	1200-lilith-interiors	1200-lilith-interiors/1247_interiors_hotel-lobby-interior_screenshot-20260526-073738-photos_1966x1527.png
1248	train	1200-lilith-interiors	1200-lilith-interiors/1248_interiors_stone-staircase-tunnel_screenshot-20260526-075919-gallery_1638x2116.png
1400	train	1400-lilith-nature	1400-lilith-nature/1400_nature_snowy-mountain-landscape_colorado_s10_iso50-f2p2_20200226-105616_4608x3456.jpg
1401	validate	1400-lilith-nature	1400-lilith-nature/1401_nature_dolphin-in-ocean_ala-moana-east-honolulu-hawaii_s21u_iso50-f2p4_20210605-072339_4000x3000.jpg
1402	train	1400-lilith-nature	1400-lilith-nature/1402_nature_rocky-ocean-coast_spitting-caves-east-honolulu_s21u_iso16-f1p8_20210605-110609_4000x3000.jpg
1403	validate	1400-lilith-nature	1400-lilith-nature/1403_nature_large-tree-canopy_honolulu-zoo-east-honolulu_s21u_iso50-f2p2_20210605-154933-3_4000x3000.jpg
1404	train	1400-lilith-nature	1400-lilith-nature/1404_nature_palm-trees-sunset_ka-anapali-beach-kaanapali_s21u_iso16-f1p8_20210607-180007_4000x3000.jpg
1405	validate	1400-lilith-nature	1400-lilith-nature/1405_nature_sea-cave-waves_keawaiki-bay-hana_s21u_iso16-f1p8_20210608-123424_4000x3000.jpg
1406	train	1400-lilith-nature	1400-lilith-nature/1406_nature_tropical-coastline-bay_waianapanapa-state-park-hana_s21u_iso50-f2p2_20210608-132330_4000x2252.jpg
1407	test	1400-lilith-nature	1400-lilith-nature/1407_nature_rocky-coastline-ocean_20210608-132404-2_8160x6120.jpg
1408	train	1400-lilith-nature	1400-lilith-nature/1408_nature_coastal-cliff-road_maui-hawaii_s21u_iso16-f1p8_20210608-162813_4000x3000.jpg
1409	test	1400-lilith-nature	1400-lilith-nature/1409_nature_rainbow-over-landscape_maui-hawaii_s21u_iso16-f1p8_20210608-165509_4000x3000.jpg
1410	train	1400-lilith-nature	1400-lilith-nature/1410_nature_coastal-road-view_maui-hawaii_s21u_iso50-f2p4_20210608-170946_4000x3000.jpg
1411	validate	1400-lilith-nature	1400-lilith-nature/1411_nature_cow-on-coastal-hill_pakowai-maui_s21u_iso50-f2p4_20210608-171206_4000x3000.jpg
1412	train	1400-lilith-nature	1400-lilith-nature/1412_nature_mountain-stream-forest_s21u_iso50-f2p4_20210707-140102_4000x3000.jpg
1413	validate	1400-lilith-nature	1400-lilith-nature/1413_nature_mountain-landscape-clouds_colorado_s21u_iso50-f2p2_20210707-143408_4000x3000.jpg
1414	train	1400-lilith-nature	1400-lilith-nature/1414_nature_forest-lake-landscape_mason-washington_s21u_iso50-f2p2_20220616-102219_4000x3000.jpg
1415	validate	1400-lilith-nature	1400-lilith-nature/1415_nature_tropical-coastline-view_kee-beach-kauai_s21u_iso16-f1p8_20221001-133315-1_12000x9000.jpg
1416	train	1400-lilith-nature	1400-lilith-nature/1416_nature_ocean-sunset-silhouette_keauhou-kahaluu-heritage-center-kahaluu-keauhou_s21u_iso50-f4p9_20221031-174022_4000x3000.jpg
1417	test	1400-lilith-nature	1400-lilith-nature/1417_nature_person-snowboarding-downhill_colorado_s21u_iso50-f2p2_20230129-121215_4000x3000.jpg
1418	train	1400-lilith-nature	1400-lilith-nature/1418_nature_pink-flower-bush_colorado_s23u_iso50-f2p4_20230627-154802_4000x3000.jpg
1419	test	1400-lilith-nature	1400-lilith-nature/1419_nature_red-flower-leaves_shinjuku-gyoen-national-garden-shinjuku_s23u_iso50-f4p9_20230702-113738_4000x3000.jpg
1420	train	1400-lilith-nature	1400-lilith-nature/1420_nature_red-flower-plant_shinjuku-gyoen-national-garden-shinjuku_s23u_iso200-f4p9_20230702-113825_4000x3000.jpg
1421	validate	1400-lilith-nature	1400-lilith-nature/1421_nature_potted-orchids-table_shinjuku-gyoen-national-garden-shinjuku_s23u_iso16-f1p7_20230702-114223_4000x3000.jpg
1422	train	1400-lilith-nature	1400-lilith-nature/1422_nature_pink-orchid-flowers_s23u_iso125-f4p9_20230704-122020_4000x3000.jpg
1423	validate	1400-lilith-nature	1400-lilith-nature/1423_nature_stone-steps-garden_ninna-temple-kyoto_s23u_iso50-f1p7_20230710-141257_4000x3000.jpg
1424	train	1400-lilith-nature	1400-lilith-nature/1424_nature_orchid-on-tree-bark_fraccionamiento-jardines-de-oriente-valladolid-m_s23u_iso125-f2p4_20230918-110655_4000x3000.jpg
1425	validate	1400-lilith-nature	1400-lilith-nature/1425_nature_cloudy-sky_fujikawaguchiko-japan_s23u_iso50-f4p9_20231101-072553_4000x3000.jpg
1426	train	1400-lilith-nature	1400-lilith-nature/1426_nature_mountain-over-lake_kawaguchiko-music-forest-fujikawaguchiko_s23u_iso50-f2p4_20231101-103646_4000x3000.jpg
1427	test	1400-lilith-nature	1400-lilith-nature/1427_nature_bee-on-pink-flower_monument-inochi-kyoto_s23u_iso64-f4p9_20231107-111746_4000x3000.heic
1428	train	1400-lilith-nature	1400-lilith-nature/1428_nature_red-flower-cluster_shimogamo-hangicho-kyoto-japan_s23u_iso50-f4p9_20231107-135711_4000x3000.heic
1429	test	1400-lilith-nature	1400-lilith-nature/1429_nature_red-rose-flower_kyoto-botanical-garden-kyoto_s23u_iso50-f2p4_20231107-140027_4000x3000.heic
1430	train	1400-lilith-nature	1400-lilith-nature/1430_nature_pink-rose-flower_kyoto-botanical-garden-kyoto_s23u_iso10-f1p7_20231107-140117_4000x3000.heic
1431	validate	1400-lilith-nature	1400-lilith-nature/1431_nature_pink-rose-flower_kyoto-botanical-garden-kyoto_s23u_iso50-f4p9_20231107-140207_4000x3000.heic
1432	train	1400-lilith-nature	1400-lilith-nature/1432_nature_pink-rose-flower_kyoto-botanical-garden-kyoto_s23u_iso50-f2p4_20231107-140705_4000x3000.jpg
1433	validate	1400-lilith-nature	1400-lilith-nature/1433_nature_purple-water-lily_kyoto-botanical-garden-kyoto_s23u_iso80-f4p9_20231107-142537_4000x3000.heic
1434	train	1400-lilith-nature	1400-lilith-nature/1434_nature_purple-water-lily_kyoto-botanical-garden-kyoto_s23u_iso80-f2p4_20231107-142619_4000x3000.heic
1435	validate	1400-lilith-nature	1400-lilith-nature/1435_nature_pandanus-fruit-closeup_kyoto-botanical-garden-kyoto_s23u_iso250-f2p4_20231107-142912_4000x3000.heic
1436	train	1400-lilith-nature	1400-lilith-nature/1436_nature_red-flower-cluster_kyoto-botanical-garden-kyoto_s23u_iso160-f2p4_20231107-143500_4000x3000.heic
1437	test	1400-lilith-nature	1400-lilith-nature/1437_nature_potted-orchid-closeup_kyoto-botanical-garden-kyoto_s23u_iso100-f4p9_20231107-143832_4000x3000.heic
1438	train	1400-lilith-nature	1400-lilith-nature/1438_nature_orange-flowers-closeup_kyoto-botanical-garden-kyoto_s23u_iso200-f4p9_20231107-143950_4000x3000.heic
1439	test	1400-lilith-nature	1400-lilith-nature/1439_nature_potted-purple-orchid_kyoto-botanical-garden-kyoto_s23u_iso200-f2p4_20231107-145307_4000x3000.heic
1440	train	1400-lilith-nature	1400-lilith-nature/1440_nature_monkeys-on-tree-branch_monkey-park-iwatayama-kyoto_s23u_iso50-f4p9_20231108-134707_4000x3000.heic
