group_id	size	bucket	joined_by	canonical_family_splits	spans_canonical	ids
1520	2	mixed	near-dup-by-eye	train,validate	1	1520,1521
1529	2	mixed	near-dup-by-eye	test,train	1	1529,1530
1536	2	mixed	near-dup-by-eye	test,train	1	1536,1537
1543	2	mixed	near-dup-by-eye	train,validate	1	1543,1544
1623	2	mixed	burst<=120s	train,validate	1	1623,1624
1634	2	mixed	burst<=120s	train,validate	1	1634,1635
3307	2	mixed	near-dup-by-eye	test,train	1	3307,3308
6029	2	test	canonical-family	test	0	6029,6059
6030	2	train	canonical-family	train	0	6030,6060
6031	2	validate	canonical-family	validate	0	6031,6061
6032	2	train	canonical-family	train	0	6032,6062
6033	2	validate	canonical-family	validate	0	6033,6063
6034	2	train	canonical-family	train	0	6034,6064
6035	2	validate	canonical-family	validate	0	6035,6065
6036	2	train	canonical-family	train	0	6036,6066
6037	2	test	canonical-family	test	0	6037,6067
6038	2	train	canonical-family	train	0	6038,6068
6039	2	test	canonical-family	test	0	6039,6069
6040	2	train	canonical-family	train	0	6040,6070
6041	2	validate	canonical-family	validate	0	6041,6071
6042	2	train	canonical-family	train	0	6042,6072
6043	2	validate	canonical-family	validate	0	6043,6073
6044	2	train	canonical-family	train	0	6044,6074
6045	2	validate	canonical-family	validate	0	6045,6075
6046	2	train	canonical-family	train	0	6046,6076
6047	2	test	canonical-family	test	0	6047,6077
6048	2	train	canonical-family	train	0	6048,6078
6049	2	test	canonical-family	test	0	6049,6079
6050	2	train	canonical-family	train	0	6050,6080
6051	2	validate	canonical-family	validate	0	6051,6081
6052	2	train	canonical-family	train	0	6052,6082
6053	2	validate	canonical-family	validate	0	6053,6083
6054	2	train	canonical-family	train	0	6054,6084
6055	2	validate	canonical-family	validate	0	6055,6085
6056	2	train	canonical-family	train	0	6056,6086
6057	2	test	canonical-family	test	0	6057,6087
6058	2	train	canonical-family	train	0	6058,6088
6092	2	train	canonical-family	train	0	6092,6095
6093	2	validate	canonical-family	validate	0	6093,6096
6094	2	train	canonical-family	train	0	6094,6097
6105	2	validate	canonical-family	validate	0	6105,6109
6106	2	train	canonical-family	train	0	6106,6110
6107	2	test	canonical-family	test	0	6107,6111
6108	2	train	canonical-family	train	0	6108,6112
7000	2	train	canonical-family	train	0	7000,7054
7001	2	validate	canonical-family	validate	0	7001,7055
7002	2	train	canonical-family	train	0	7002,7056
7003	2	validate	canonical-family	validate	0	7003,7057
7004	2	train	canonical-family	train	0	7004,7058
7005	2	validate	canonical-family	validate	0	7005,7059
7006	2	train	canonical-family	train	0	7006,7070
7007	2	test	canonical-family	test	0	7007,7060
7008	2	train	canonical-family	train	0	7008,7068
7009	2	test	canonical-family	test	0	7009,7071
7010	2	train	canonical-family	train	0	7010,7072
7011	2	validate	canonical-family	validate	0	7011,7073
7012	2	train	canonical-family	train	0	7012,7074
7013	2	validate	canonical-family	validate	0	7013,7061
7014	2	train	canonical-family	train	0	7014,7069
7015	2	validate	canonical-family	validate	0	7015,7062
7016	2	train	canonical-family	train	0	7016,7063
7017	2	test	canonical-family	test	0	7017,7064
7018	2	train	canonical-family	train	0	7018,7065
7019	2	test	canonical-family	test	0	7019,7075
7020	2	train	canonical-family	train	0	7020,7066
7021	2	validate	canonical-family	validate	0	7021,7067
7022	2	train	canonical-family	train	0	7022,7076
7023	2	validate	canonical-family	validate	0	7023,7077
7024	2	train	canonical-family	train	0	7024,7078
7025	2	validate	canonical-family	validate	0	7025,7079
7026	2	train	canonical-family	train	0	7026,7080
7027	2	test	canonical-family	test	0	7027,7081
7028	2	train	canonical-family	train	0	7028,7082
7029	2	test	canonical-family	test	0	7029,7083
7030	2	train	canonical-family	train	0	7030,7084
7031	2	validate	canonical-family	validate	0	7031,7085
7032	2	train	canonical-family	train	0	7032,7086
7033	2	validate	canonical-family	validate	0	7033,7087
7034	2	train	canonical-family	train	0	7034,7088
7035	2	validate	canonical-family	validate	0	7035,7089
7036	2	train	canonical-family	train	0	7036,7090
8100	5	train	canonical-family,same-url-page	train	0	8100,8159,8219,8271,8330
8101	7	validate	canonical-family,same-url-page	validate	0	8101,8160,8220,8272,8331,8389,8391
8102	7	train	canonical-family,same-url-page	train	0	8102,8161,8221,8273,8332,8390,8392
8103	7	validate	canonical-family,same-url-page	validate	0	8103,8162,8222,8274,8333,8396,8397
8104	6	train	canonical-family,same-url-page	train	0	8104,8163,8223,8275,8334,8404
8105	6	validate	canonical-family,same-url-page	validate	0	8105,8164,8224,8276,8335,8405
8106	2	train	canonical-family,same-url-page	train	0	8106,8406
8107	2	test	canonical-family,same-url-page	test	0	8107,8407
8108	6	train	canonical-family,same-url-page	train	0	8108,8165,8225,8277,8336,8408
8109	6	test	canonical-family,same-url-page	test	0	8109,8166,8226,8278,8337,8409
8110	5	train	canonical-family,same-url-page	train	0	8110,8167,8227,8279,8338
8111	7	validate	canonical-family,same-url-page	validate	0	8111,8169,8228,8280,8339,8410,8412
8112	7	train	canonical-family,same-url-page	train	0	8112,8170,8229,8281,8340,8411,8413
8113	6	validate	canonical-family,same-url-page	validate	0	8113,8171,8230,8282,8341,8414
8114	6	train	canonical-family,same-url-page	train	0	8114,8172,8231,8283,8342,8415
8115	7	validate	canonical-family,same-sha256,same-url-page	validate	0	8115,8173,8232,8233,8284,8343,8344
8116	3	train	canonical-family,same-url-page	train	0	8116,8174,8286
8117	3	test	canonical-family,same-url-page	test	0	8117,8175,8287
8118	6	train	canonical-family,same-url-page	train	0	8118,8176,8234,8288,8345,8416
8119	6	test	canonical-family,same-url-page	test	0	8119,8177,8235,8289,8346,8417
8120	6	train	canonical-family,same-url-page	train	0	8120,8178,8236,8290,8347,8418
8121	6	validate	canonical-family,same-url-page	validate	0	8121,8179,8237,8291,8348,8419
8122	5	train	canonical-family,same-url-page	train	0	8122,8180,8238,8292,8349
8123	5	validate	canonical-family,same-url-page	validate	0	8123,8181,8239,8293,8350
8124	5	train	canonical-family,same-url-page	train	0	8124,8182,8240,8294,8351
8125	5	validate	canonical-family,same-url-page	validate	0	8125,8183,8241,8295,8352
8126	8	train	canonical-family,same-url-page	train	0	8126,8184,8242,8296,8353,8420,8422,8424
8127	8	test	canonical-family,same-url-page	test	0	8127,8185,8243,8297,8354,8421,8423,8425
8128	6	train	canonical-family,same-url-page	train	0	8128,8186,8244,8298,8355,8426
8129	6	test	canonical-family,same-url-page	test	0	8129,8187,8245,8299,8356,8427
8130	6	train	canonical-family,same-url-page	train	0	8130,8190,8248,8302,8359,8432
8131	6	validate	canonical-family,same-url-page	validate	0	8131,8191,8249,8303,8360,8434
8132	6	train	canonical-family,same-url-page	train	0	8132,8192,8250,8304,8361,8435
8133	6	validate	canonical-family,same-url-page	validate	0	8133,8193,8251,8305,8362,8436
8134	8	train	canonical-family,same-sha256,same-url-page	train	0	8134,8136,8196,8198,8252,8307,8365,8442
8135	8	mixed	canonical-family,same-sha256,same-url-page	test,validate	1	8135,8137,8197,8199,8253,8308,8366,8443
8138	9	train	canonical-family,same-url-page	train	0	8138,8200,8254,8309,8367,8444,8446,8448,8450
8139	9	mixed	canonical-family,same-url-page	test,validate	1	8139,8201,8255,8310,8368,8445,8447,8449,8451
8140	8	train	canonical-family,same-sha256,same-url-page	train	0	8140,8202,8256,8258,8311,8313,8369,8371
8141	8	mixed	canonical-family,same-sha256,same-url-page	test,validate	1	8141,8203,8257,8259,8312,8314,8370,8372
8142	5	train	canonical-family,same-url-page	train	0	8142,8204,8260,8315,8373
8143	5	validate	canonical-family,same-url-page	validate	0	8143,8205,8261,8316,8374
8144	6	train	canonical-family,same-url-page	train	0	8144,8206,8262,8317,8375,8452
8145	6	validate	canonical-family,same-url-page	validate	0	8145,8207,8263,8318,8376,8453
8147	5	test	canonical-family,same-url-page	test	0	8147,8208,8264,8319,8377
8148	8	mixed	canonical-family,same-sha256,same-url-page	train,validate	1	8148,8209,8211,8265,8321,8379,8381,8458
8149	8	mixed	canonical-family,same-sha256,same-url-page	test,train	1	8149,8210,8212,8266,8322,8380,8382,8459
8150	2	train	canonical-family,same-url-page	train	0	8150,8460
8151	2	validate	canonical-family,same-url-page	validate	0	8151,8461
8152	6	train	canonical-family,same-url-page	train	0	8152,8213,8267,8323,8383,8462
8153	6	validate	canonical-family,same-url-page	validate	0	8153,8214,8268,8324,8385,8464
8154	6	train	canonical-family,same-url-page	train	0	8154,8215,8269,8325,8386,8465
8155	2	validate	canonical-family,same-url-page	validate	0	8155,8468
8156	8	mixed	canonical-family,same-url-page	test,train	1	8156,8216,8270,8326,8387,8388,8466,8467
8157	3	test	canonical-family,same-url-page	test	0	8157,8217,8328
8158	3	train	canonical-family,same-url-page	train	0	8158,8218,8329
8188	2	train	canonical-family,same-url-page	train	0	8188,8357
8189	2	test	canonical-family,same-url-page	test	0	8189,8358
8194	2	train	canonical-family,same-url-page	train	0	8194,8363
8195	2	validate	canonical-family,same-url-page	validate	0	8195,8364
8246	2	train	canonical-family,same-url-page	train	0	8246,8300
8247	2	test	canonical-family,same-url-page	test	0	8247,8301
8306	2	train	canonical-family,same-url-page	train	0	8306,8437
8320	2	train	canonical-family,same-url-page	train	0	8320,8378
8384	2	train	canonical-family,same-url-page	train	0	8384,8463
8393	2	validate	canonical-family,same-url-page	validate	0	8393,8394
8398	3	train	canonical-family,same-url-page	train	0	8398,8400,8402
8399	3	test	canonical-family,same-url-page	test	0	8399,8401,8403
8428	2	train	canonical-family,same-url-page	train	0	8428,8430
8429	2	test	canonical-family,same-url-page	test	0	8429,8431
8438	2	train	canonical-family,same-url-page	train	0	8438,8440
8439	2	test	canonical-family,same-url-page	test	0	8439,8441
9933	2	mixed	same-sha256	train,validate	1	9933,9972
