rank	cumulative_gp	image_path	scale_w	scale_h	megapixels	content_class	variant_name
10	0.0001	/mnt/v/output/imazen-26-png/1000-lilith-photos-general/1020_general_space-needle-sculpture-garden_seattle-center-seattle_s23u_iso50-f2p2_20230727-174418_4000x3000.sdr.png	96	128	0.0123	1000-lilith-photos-general	1020.scale96x128
11	0.0001	/mnt/v/output/imazen-26-png/1000-lilith-photos-general/1022_general_thatched-roof-fence_azulik-city-arts-francisco-uh-may_s23u_iso50-f2p2_20230917-141034_4000x3000.sdr.png	96	128	0.0123	1000-lilith-photos-general	1022.scale96x128
12	0.0002	/mnt/v/output/imazen-26-png/1000-lilith-photos-general/1024_general_outdoor-dining-table_azulik-city-arts-francisco-uh-may_s23u_iso100-f2p2_20230917-152718_4000x3000.sdr.png	96	128	0.0123	1000-lilith-photos-general	1024.scale96x128
13	0.0002	/mnt/v/output/imazen-26-png/1000-lilith-photos-general/1026_general_two-turtles-on-rock_hotel-zentik-project-valladolid_s23u_iso50-f4p9_20230918-105440_4000x3000.sdr.png	96	128	0.0123	1000-lilith-photos-general	1026.scale96x128
14	0.0002	/mnt/v/output/imazen-26-png/1000-lilith-photos-general/1028_general_hands-holding-small-turtle_hotel-zentik-project-valladolid_s23u_iso25-f1p7_20230918-105607_4000x2252.sdr.png	72	128	0.0092	1000-lilith-photos-general	1028.scale72x128
15	0.0002	/mnt/v/output/imazen-26-png/1000-lilith-photos-general/1030_general_wooden-figure-planter_hotel-zentik-project-valladolid_s23u_iso200-f2p4_20230918-105951_4000x3000.sdr.png	96	128	0.0123	1000-lilith-photos-general	1030.scale96x128
16	0.0002	/mnt/v/output/imazen-26-png/1000-lilith-photos-general/1032_general_colorful-wall-mural_hotel-zentik-project-valladolid_s23u_iso20-f1p7_20230918-110521_4000x3000.sdr.png	128	96	0.0123	1000-lilith-photos-general	1032.scale128x96
17	0.0002	/mnt/v/output/imazen-26-png/1000-lilith-photos-general/1034_general_rainbow-painted-staircase_placa-pedro-infante-valladolid_s23u_iso50-f1p7_20230918-111645_2574x3432.sdr.png	96	128	0.0123	1000-lilith-photos-general	1034.scale96x128
18	0.0002	/mnt/v/output/imazen-26-png/1000-lilith-photos-general/1036_general_stone-temple-carvings_ek-balam_s23u_iso16-f1p7_20230918-152107_4000x3000.sdr.png	96	128	0.0123	1000-lilith-photos-general	1036.scale96x128
19	0.0002	/mnt/v/output/imazen-26-png/1000-lilith-photos-general/1038_general_stone-building-entrance_ek-balam_s23u_iso20-f1p7_20230918-152619_4000x3000.sdr.png	96	128	0.0123	1000-lilith-photos-general	1038.scale96x128
20	0.0003	/mnt/v/output/imazen-26-png/1000-lilith-photos-general/1040_general_roller-coaster-ride_fuji-q-highland-fujikawaguchiko_s23u_iso50-f2p4_20231030-160417_4000x3000.sdr.png	96	128	0.0123	1000-lilith-photos-general	1040.scale96x128
21	0.0003	/mnt/v/output/imazen-26-png/1000-lilith-photos-general/1042_general_dragon-fountain-statue_monument-inochi-kyoto_s23u_iso100-f1p7_20231107-111520_4000x3000.sdr.png	128	96	0.0123	1000-lilith-photos-general	1042.scale128x96
22	0.0003	/mnt/v/output/imazen-26-png/1000-lilith-photos-general/1044_general_sticker-covered-wall-panel_gljufrabui-rangarthing-eystra_s23u_iso125-f1p7_20231206-150232_4000x3000.sdr.png	96	128	0.0123	1000-lilith-photos-general	1044.scale96x128
23	0.0003	/mnt/v/output/imazen-26-png/1000-lilith-photos-general/1046_general_canal-night-cityscape_memorial-anchor-copenhagen_s23u_iso800-f2p4_20231213-173257_4000x3000.sdr.png	128	96	0.0123	1000-lilith-photos-general	1046.scale128x96
24	0.0003	/mnt/v/output/imazen-26-png/1000-lilith-photos-general/1048_general_people-snowboarding-in-snow_colorado_s23u_iso12-f1p7_20240325-104900_4000x3000.sdr.png	96	128	0.0123	1000-lilith-photos-general	1048.scale96x128
25	0.0003	/mnt/v/output/imazen-26-png/1000-lilith-photos-general/1050_general_riverside-walkway-and-river_louvre-palace-paris_s23u_iso50-f2p2_20240425-154625_4000x3000.sdr.png	128	96	0.0123	1000-lilith-photos-general	1050.scale128x96
26	0.0003	/mnt/v/output/imazen-26-png/1000-lilith-photos-general/1052_general_framed-building-painting_museum-orsay-paris_s23u_iso500-f2p4_20240425-185701_4000x3000.sdr.png	96	128	0.0123	1000-lilith-photos-general	1052.scale96x128
27	0.0003	/mnt/v/output/imazen-26-png/1000-lilith-photos-general/1054_general_modern-art-museum-exterior-paris_s23u_iso10-f1p7_20240427-165529_4000x3000.sdr.png	96	128	0.0123	1000-lilith-photos-general	1054.scale96x128
28	0.0003	/mnt/v/output/imazen-26-png/1000-lilith-photos-general/1056_general_flower-bouquet-and-cards_colorado_s23u_iso80-f2p4_20240505-172513_4000x3000.sdr.png	96	128	0.0123	1000-lilith-photos-general	1056.scale96x128
29	0.0004	/mnt/v/output/imazen-26-png/1000-lilith-photos-general/1058_general_balcony-building-facade_waikiki-beach-east-honolulu_s23u_iso25-f1p7_20241104-163816_4000x3000.sdr.png	96	128	0.0123	1000-lilith-photos-general	1058.scale96x128
30	0.0004	/mnt/v/output/imazen-26-png/1000-lilith-photos-general/1060_general_tiered-floral-cake_colorado_s23u_iso125-f1p7_20250202-141907_4000x3000.sdr.png	96	128	0.0123	1000-lilith-photos-general	1060.scale96x128
31	0.0004	/mnt/v/output/imazen-26-png/1000-lilith-photos-general/1062_general_boat-on-water_numazu-japan_s23u_iso50-f2p2_20250307-173047_4000x3000.sdr.png	96	128	0.0123	1000-lilith-photos-general	1062.scale96x128
32	0.0004	/mnt/v/output/imazen-26-png/1000-lilith-photos-general/1064_general_castle-bridge-moat_montjuic-castle-barcelona_zfold7_iso40-f1p7_20260315-175347_4000x3000.sdr.png	96	128	0.0123	1000-lilith-photos-general	1064.scale96x128
33	0.0004	/mnt/v/output/imazen-26-png/1000-lilith-photos-general/1066_general_stone-building-facade_park-guell-barcelona_zfold7_iso80-f1p7_20260318-172109_4000x3000.sdr.png	96	128	0.0123	1000-lilith-photos-general	1066.scale96x128
34	0.0004	/mnt/v/output/imazen-26-png/1000-lilith-photos-general/1068_general_glowing-blue-glass-sphere_house-eternal-return-meow-wolf-santa-fe_ip8plus_iso100-f1p8_img-7632_4032x3024.sdr.png	96	128	0.0123	1000-lilith-photos-general	1068.scale96x128
35	0.0004	/mnt/v/output/imazen-26-png/1000-lilith-photos-general/1070_general_stone-temple-ruins_ip13pro_iso50-f1p5_img-8852_4032x3024.sdr.png	128	96	0.0123	1000-lilith-photos-general	1070.scale128x96
36	0.0004	/mnt/v/output/imazen-26-png/1200-lilith-interiors/1200_interiors_reflective-egg-sculptures_s23u_iso10-f1p7_20230704-121114_4000x3000.sdr.png	128	96	0.0123	1200-lilith-interiors	1200.scale128x96
37	0.0005	/mnt/v/output/imazen-26-png/1200-lilith-interiors/1202_interiors_abstract-textured-pattern_seattle-center-seattle_s23u_iso1000-f1p7_20230727-164305_4000x3000.sdr.png	96	128	0.0123	1200-lilith-interiors	1202.scale96x128
38	0.0005	/mnt/v/output/imazen-26-png/1200-lilith-interiors/1204_interiors_rustic-outdoor-dining-area_s23u_iso125-f2p2_20230915-124518_4000x3000.sdr.png	96	128	0.0123	1200-lilith-interiors	1204.scale96x128
39	0.0005	/mnt/v/output/imazen-26-png/1200-lilith-interiors/1206_interiors_tree-like-sculpture-ceiling_azulik-city-arts-francisco-uh-may_s23u_iso80-f2p2_20230917-143302_4000x3000.sdr.png	96	128	0.0123	1200-lilith-interiors	1206.scale96x128
40	0.0005	/mnt/v/output/imazen-26-png/1200-lilith-interiors/1208_interiors_woven-hammock-by-beach_hotel-zentik-project-valladolid_s23u_iso20-f1p7_20230918-110558_4000x3000.sdr.png	96	128	0.0123	1200-lilith-interiors	1208.scale96x128
41	0.0005	/mnt/v/output/imazen-26-png/1200-lilith-interiors/1210_interiors_sunlit-living-room_square-du-temple-elie-wiesel-paris_s23u_iso100-f1p7_20240421-153756_4000x3000.sdr.png	96	128	0.0123	1200-lilith-interiors	1210.scale96x128
42	0.0005	/mnt/v/output/imazen-26-png/1200-lilith-interiors/1212_interiors_ornate-ceiling-mural_opera-garnier-paris_s23u_iso800-f1p7_20240423-220507_4000x3000.sdr.png	96	128	0.0123	1200-lilith-interiors	1212.scale96x128
43	0.0005	/mnt/v/output/imazen-26-png/1200-lilith-interiors/1214_interiors_ornate-painted-ceiling_queen-s-grand-apartment-versailles_s23u_iso80-f2p2_20240424-123020_3000x3556.sdr.png	108	128	0.0138	1200-lilith-interiors	1214.scale108x128
44	0.0005	/mnt/v/output/imazen-26-png/1200-lilith-interiors/1216_interiors_ornate-standing-mirror_square-du-temple-elie-wiesel-paris_s23u_iso200-f1p7_20240429-114934-1_4000x3000.sdr.png	96	128	0.0123	1200-lilith-interiors	1216.scale96x128
45	0.0006	/mnt/v/output/imazen-26-png/1200-lilith-interiors/1218_interiors_bathroom-sinks-mirror_las-5-calles-valladolid_s23u_iso320-f1p7_20240529-081045_3000x4000.sdr.png	96	128	0.0123	1200-lilith-interiors	1218.scale96x128
46	0.0006	/mnt/v/output/imazen-26-png/1200-lilith-interiors/1220_interiors_tree-covered-walkway_azulik-city-arts-francisco-uh-may_s23u_iso400-f2p2_20240601-153248_4000x3000.sdr.png	96	128	0.0123	1200-lilith-interiors	1220.scale96x128
47	0.0006	/mnt/v/output/imazen-26-png/1200-lilith-interiors/1222_interiors_japanese-style-room_tatsuta-izu_s23u_iso320-f2p2_20250304-160906_4000x3000.sdr.png	128	96	0.0123	1200-lilith-interiors	1222.scale128x96
48	0.0006	/mnt/v/output/imazen-26-png/1200-lilith-interiors/1224_interiors_screened-porch-ocean-view_minamiizu-japan_s23u_iso16-f1p7_20250306-162953_4000x3000.sdr.png	128	96	0.0123	1200-lilith-interiors	1224.scale128x96
49	0.0006	/mnt/v/output/imazen-26-png/1200-lilith-interiors/1226_interiors_hotel-lobby-interior_mt-awashima-numazu_s23u_iso250-f2p2_20250307-195449_4000x3000.sdr.png	128	96	0.0123	1200-lilith-interiors	1226.scale128x96
50	0.0006	/mnt/v/output/imazen-26-png/1200-lilith-interiors/1228_interiors_stained-glass-windows_casa-batllo-barcelona_zfold7_iso2500-f1p7_20260315-205328_4000x3000.sdr.png	128	96	0.0123	1200-lilith-interiors	1228.scale128x96
51	0.0006	/mnt/v/output/imazen-26-png/1200-lilith-interiors/1230_interiors_empty-tiled-pool_casa-batllo-barcelona_zfold7_iso640-f1p7_20260315-210432_4000x3000.sdr.png	96	128	0.0123	1200-lilith-interiors	1230.scale96x128
52	0.0006	/mnt/v/output/imazen-26-png/1200-lilith-interiors/1232_interiors_stained-glass-windows_sagrada-familia-barcelona_zfold7_iso400-f1p7_20260317-144409_4000x3000.sdr.png	96	128	0.0123	1200-lilith-interiors	1232.scale96x128
53	0.0007	/mnt/v/output/imazen-26-png/1200-lilith-interiors/1234_interiors_cathedral-ceiling-columns_sagrada-familia-barcelona_zfold7_iso400-f1p7_20260317-154023_4000x3000.sdr.png	96	128	0.0123	1200-lilith-interiors	1234.scale96x128
54	0.0007	/mnt/v/output/imazen-26-png/1200-lilith-interiors/1236_interiors_ornate-arched-interior_casa-vicens-barcelona_zfold7_iso400-f2p2_20260319-165702_4000x3000.sdr.png	96	128	0.0123	1200-lilith-interiors	1236.scale96x128
55	0.0007	/mnt/v/output/imazen-26-png/1200-lilith-interiors/1238_interiors_open-doorway-interior_casa-vicens-barcelona_zfold7_iso250-f2p2_20260319-170237_4000x3000.sdr.png	96	128	0.0123	1200-lilith-interiors	1238.scale96x128
56	0.0007	/mnt/v/output/imazen-26-png/1200-lilith-interiors/1240_interiors_bathroom-with-bathtub_casa-vicens-barcelona_zfold7_iso1000-f2p2_20260319-170336_4000x3000.sdr.png	96	128	0.0123	1200-lilith-interiors	1240.scale96x128
57	0.0007	/mnt/v/output/imazen-26-png/1200-lilith-interiors/1242_interiors_storage-room-clutter_la-pedrera-barcelona_zfold7_iso640-f2p2_20260319-183704_4000x3000.sdr.png	96	128	0.0123	1200-lilith-interiors	1242.scale96x128
58	0.0007	/mnt/v/output/imazen-26-png/1200-lilith-interiors/1244_interiors_painted-ceiling-columns_la-pedrera-barcelona_zfold7_iso800-f1p7_20260319-194130_4000x3000.sdr.png	96	128	0.0123	1200-lilith-interiors	1244.scale96x128
59	0.0007	/mnt/v/output/imazen-26-png/1200-lilith-interiors/1246_interiors_woven-roof-structure_azulik-city-arts-francisco-uh-may_ip13pro_iso32-f1p8_img-8944_4032x3024.sdr.png	128	96	0.0123	1200-lilith-interiors	1246.scale128x96
60	0.0007	/mnt/v/output/imazen-26-png/1200-lilith-interiors/1248_interiors_stone-staircase-tunnel_screenshot-20260526-075919-gallery_1638x2116.sdr.png	99	128	0.0127	1200-lilith-interiors	1248.scale99x128
61	0.0008	/mnt/v/output/imazen-26-png/1400-lilith-nature/1400_nature_snowy-mountain-landscape_colorado_s10_iso50-f2p2_20200226-105616_4608x3456.sdr.png	128	96	0.0123	1400-lilith-nature	1400.scale128x96
62	0.0008	/mnt/v/output/imazen-26-png/1400-lilith-nature/1402_nature_rocky-ocean-coast_spitting-caves-east-honolulu_s21u_iso16-f1p8_20210605-110609_4000x3000.sdr.png	128	96	0.0123	1400-lilith-nature	1402.scale128x96
63	0.0008	/mnt/v/output/imazen-26-png/1400-lilith-nature/1404_nature_palm-trees-sunset_ka-anapali-beach-kaanapali_s21u_iso16-f1p8_20210607-180007_4000x3000.sdr.png	128	96	0.0123	1400-lilith-nature	1404.scale128x96
64	0.0008	/mnt/v/output/imazen-26-png/1400-lilith-nature/1406_nature_tropical-coastline-bay_waianapanapa-state-park-hana_s21u_iso50-f2p2_20210608-132330_4000x2252.sdr.png	128	72	0.0092	1400-lilith-nature	1406.scale128x72
65	0.0008	/mnt/v/output/imazen-26-png/1400-lilith-nature/1408_nature_coastal-cliff-road_maui-hawaii_s21u_iso16-f1p8_20210608-162813_4000x3000.sdr.png	128	96	0.0123	1400-lilith-nature	1408.scale128x96
66	0.0008	/mnt/v/output/imazen-26-png/1400-lilith-nature/1410_nature_coastal-road-view_maui-hawaii_s21u_iso50-f2p4_20210608-170946_4000x3000.sdr.png	128	96	0.0123	1400-lilith-nature	1410.scale128x96
67	0.0008	/mnt/v/output/imazen-26-png/1400-lilith-nature/1412_nature_mountain-stream-forest_s21u_iso50-f2p4_20210707-140102_4000x3000.sdr.png	128	96	0.0123	1400-lilith-nature	1412.scale128x96
68	0.0008	/mnt/v/output/imazen-26-png/1400-lilith-nature/1414_nature_forest-lake-landscape_mason-washington_s21u_iso50-f2p2_20220616-102219_4000x3000.sdr.png	128	96	0.0123	1400-lilith-nature	1414.scale128x96
69	0.0009	/mnt/v/output/imazen-26-png/1400-lilith-nature/1416_nature_ocean-sunset-silhouette_keauhou-kahaluu-heritage-center-kahaluu-keauhou_s21u_iso50-f4p9_20221031-174022_4000x3000.sdr.png	128	96	0.0123	1400-lilith-nature	1416.scale128x96
70	0.0009	/mnt/v/output/imazen-26-png/1400-lilith-nature/1418_nature_pink-flower-bush_colorado_s23u_iso50-f2p4_20230627-154802_4000x3000.sdr.png	96	128	0.0123	1400-lilith-nature	1418.scale96x128
71	0.0009	/mnt/v/output/imazen-26-png/1400-lilith-nature/1420_nature_red-flower-plant_shinjuku-gyoen-national-garden-shinjuku_s23u_iso200-f4p9_20230702-113825_4000x3000.sdr.png	96	128	0.0123	1400-lilith-nature	1420.scale96x128
72	0.0009	/mnt/v/output/imazen-26-png/1400-lilith-nature/1422_nature_pink-orchid-flowers_s23u_iso125-f4p9_20230704-122020_4000x3000.sdr.png	96	128	0.0123	1400-lilith-nature	1422.scale96x128
73	0.0009	/mnt/v/output/imazen-26-png/1400-lilith-nature/1424_nature_orchid-on-tree-bark_fraccionamiento-jardines-de-oriente-valladolid-m_s23u_iso125-f2p4_20230918-110655_4000x3000.sdr.png	96	128	0.0123	1400-lilith-nature	1424.scale96x128
74	0.0009	/mnt/v/output/imazen-26-png/1400-lilith-nature/1426_nature_mountain-over-lake_kawaguchiko-music-forest-fujikawaguchiko_s23u_iso50-f2p4_20231101-103646_4000x3000.sdr.png	96	128	0.0123	1400-lilith-nature	1426.scale96x128
75	0.0009	/mnt/v/output/imazen-26-png/1400-lilith-nature/1428_nature_red-flower-cluster_shimogamo-hangicho-kyoto-japan_s23u_iso50-f4p9_20231107-135711_4000x3000.sdr.png	96	128	0.0123	1400-lilith-nature	1428.scale96x128
76	0.0009	/mnt/v/output/imazen-26-png/1400-lilith-nature/1430_nature_pink-rose-flower_kyoto-botanical-garden-kyoto_s23u_iso10-f1p7_20231107-140117_4000x3000.sdr.png	96	128	0.0123	1400-lilith-nature	1430.scale96x128
77	0.0010	/mnt/v/output/imazen-26-png/1400-lilith-nature/1432_nature_pink-rose-flower_kyoto-botanical-garden-kyoto_s23u_iso50-f2p4_20231107-140705_4000x3000.sdr.png	96	128	0.0123	1400-lilith-nature	1432.scale96x128
78	0.0010	/mnt/v/output/imazen-26-png/1400-lilith-nature/1434_nature_purple-water-lily_kyoto-botanical-garden-kyoto_s23u_iso80-f2p4_20231107-142619_4000x3000.sdr.png	96	128	0.0123	1400-lilith-nature	1434.scale96x128
79	0.0010	/mnt/v/output/imazen-26-png/1400-lilith-nature/1436_nature_red-flower-cluster_kyoto-botanical-garden-kyoto_s23u_iso160-f2p4_20231107-143500_4000x3000.sdr.png	96	128	0.0123	1400-lilith-nature	1436.scale96x128
80	0.0010	/mnt/v/output/imazen-26-png/1400-lilith-nature/1438_nature_orange-flowers-closeup_kyoto-botanical-garden-kyoto_s23u_iso200-f4p9_20231107-143950_4000x3000.sdr.png	96	128	0.0123	1400-lilith-nature	1438.scale96x128
81	0.0010	/mnt/v/output/imazen-26-png/1400-lilith-nature/1440_nature_monkeys-on-tree-branch_monkey-park-iwatayama-kyoto_s23u_iso50-f4p9_20231108-134707_4000x3000.sdr.png	96	128	0.0123	1400-lilith-nature	1440.scale96x128
82	0.0010	/mnt/v/output/imazen-26-png/1400-lilith-nature/1442_nature_airplane-wing-aurora_s23u_iso800-f1p7_20231204-222129_4000x3000.sdr.png	128	96	0.0123	1400-lilith-nature	1442.scale128x96
83	0.0010	/mnt/v/output/imazen-26-png/1400-lilith-nature/1446_nature_icy-coastal-landscape_hornafjordur-iceland_s23u_iso20-f1p7_20231207-114310_4000x1868.sdr.png	128	60	0.0077	1400-lilith-nature	1446.scale128x60
84	0.0010	/mnt/v/output/imazen-26-png/1400-lilith-nature/1448_nature_snow-on-ice_hornafjordur-iceland_s23u_iso200-f1p7_20231207-115005_4000x1868.sdr.png	60	128	0.0077	1400-lilith-nature	1448.scale60x128
85	0.0010	/mnt/v/output/imazen-26-png/1400-lilith-nature/1450_nature_icebergs-in-lagoon_hornafjordur-iceland_s23u_iso500-f1p7_20231207-153457_4000x1868.sdr.png	128	60	0.0077	1400-lilith-nature	1450.scale128x60
86	0.0010	/mnt/v/output/imazen-26-png/1400-lilith-nature/1452_nature_ice-strewn-beach_diamond-beach-hornafjordur_s23u_iso1600-f1p7_20231207-161801_4000x1868.sdr.png	60	128	0.0077	1400-lilith-nature	1452.scale60x128
87	0.0011	/mnt/v/output/imazen-26-png/1400-lilith-nature/1454_nature_coastal-sunset-reflection_myrdalshreppur-iceland_s23u_iso10-f1p7_20231209-121716_8160x6120.sdr.png	128	96	0.0123	1400-lilith-nature	1454.scale128x96
88	0.0011	/mnt/v/output/imazen-26-png/1400-lilith-nature/1456_nature_frozen-waterfall-landscape_gullfoss-falls-blaskogabyggd_s23u_iso125-f2p4_20231209-152815_4000x3000.sdr.png	96	128	0.0123	1400-lilith-nature	1456.scale96x128
89	0.0011	/mnt/v/output/imazen-26-png/1400-lilith-nature/1460_nature_tropical-flower-cluster_cahuita-costa-rica_s23u_iso1000-f1p7_20240211-170302_4000x3000.sdr.png	96	128	0.0123	1400-lilith-nature	1460.scale96x128
90	0.0011	/mnt/v/output/imazen-26-png/1400-lilith-nature/1462_nature_clouds-from-above_iceland_s23u_iso10-f1p7_20240421-074801_4000x3000.sdr.png	96	128	0.0123	1400-lilith-nature	1462.scale96x128
91	0.0011	/mnt/v/output/imazen-26-png/1400-lilith-nature/1464_nature_flower-bed-by-pond_grotte-versailles_s23u_iso200-f4p9_20240424-182412_4000x3000.sdr.png	96	128	0.0123	1400-lilith-nature	1464.scale96x128
92	0.0011	/mnt/v/output/imazen-26-png/1400-lilith-nature/1466_nature_sun-glare-on-water_blue-lagoon-grindavik_s23u_iso10-f1p7_20240429-202505_4000x3000.sdr.png	128	96	0.0123	1400-lilith-nature	1466.scale128x96
93	0.0011	/mnt/v/output/imazen-26-png/1400-lilith-nature/1468_nature_sun-behind-clouds_phippsburg-maine_s23u_iso10-f1p7_20240913-140504_4000x3000.sdr.png	96	128	0.0123	1400-lilith-nature	1468.scale96x128
94	0.0011	/mnt/v/output/imazen-26-png/1400-lilith-nature/1470_nature_sunset-over-water_waikiki-east-honolulu-hawaii_s23u_iso50-f4p9_20241106-175105_4000x3000.sdr.png	96	128	0.0123	1400-lilith-nature	1470.scale96x128
95	0.0012	/mnt/v/output/imazen-26-png/1400-lilith-nature/1472_nature_sunset-over-parking-lot_colorado_s23u_iso25-f1p7_20241220-165246_4000x3000.sdr.png	128	96	0.0123	1400-lilith-nature	1472.scale128x96
96	0.0012	/mnt/v/output/imazen-26-png/1400-lilith-nature/1474_nature_sunset-over-water_minamiizu-japan_s23u_iso50-f2p4_20250306-174348_4000x3000.sdr.png	96	128	0.0123	1400-lilith-nature	1474.scale96x128
97	0.0012	/mnt/v/output/imazen-26-png/1400-lilith-nature/1476_nature_ocean-sunset-horizon_minamiizu-japan_s23u_iso125-f4p9_20250306-174535_4000x3000.sdr.png	96	128	0.0123	1400-lilith-nature	1476.scale96x128
98	0.0012	/mnt/v/output/imazen-26-png/1400-lilith-nature/1478_nature_tree-branches-ocean-horizon_minamiizu-japan_s23u_iso80-f2p2_20250306-174732_4000x3000.sdr.png	128	96	0.0123	1400-lilith-nature	1478.scale128x96
99	0.0012	/mnt/v/output/imazen-26-png/1400-lilith-nature/1480_nature_snowcapped-mountain-seascape_kumomi-matsuzaki-japan_s23u_iso50-f4p9_20250307-122938_4000x3000.sdr.png	128	96	0.0123	1400-lilith-nature	1480.scale128x96
100	0.0012	/mnt/v/output/imazen-26-png/1400-lilith-nature/1482_nature_snowcapped-mountain-landscape_iwachi-matsuzaki-japan_s23u_iso50-f4p9_20250307-131518_4000x3000.sdr.png	96	128	0.0123	1400-lilith-nature	1482.scale96x128
101	0.0012	/mnt/v/output/imazen-26-png/1400-lilith-nature/1484_nature_snowy-mountain-over-water_uchiura-koumi-numazu-japan_s23u_iso80-f4p9_20250307-173056_4000x3000.sdr.png	96	128	0.0123	1400-lilith-nature	1484.scale96x128
102	0.0012	/mnt/v/output/imazen-26-png/1400-lilith-nature/1486_nature_steaming-red-hot-spring_miyuki-beppu-japan_s23u_iso10-f1p7_20250311-151632_4000x3000.sdr.png	96	128	0.0123	1400-lilith-nature	1486.scale96x128
103	0.0013	/mnt/v/output/imazen-26-png/1400-lilith-nature/1488_nature_iceberg-ocean-landscape_yakutat-alaska_s25u_iso80-f1p7_20250803-185104_4000x3000.sdr.png	96	128	0.0123	1400-lilith-nature	1488.scale96x128
104	0.0013	/mnt/v/output/imazen-26-png/1400-lilith-nature/1490_nature_boat-wake-at-sunset_unorganized-borough-alaska_s25u_iso200-f1p7_20250804-211018_4000x3000.sdr.png	96	128	0.0123	1400-lilith-nature	1490.scale96x128
105	0.0013	/mnt/v/output/imazen-26-png/1400-lilith-nature/1492_nature_mountain-lake-landscape_whitehorse-canada_s25u_iso64-f1p7_20250805-162506_4000x3000.sdr.png	96	128	0.0123	1400-lilith-nature	1492.scale96x128
106	0.0013	/mnt/v/output/imazen-26-png/1400-lilith-nature/1494_nature_sunset-over-forest_colorado_zfold7_iso250-f1p7_20251110-170409_4000x3000.sdr.png	128	96	0.0123	1400-lilith-nature	1494.scale128x96
107	0.0013	/mnt/v/output/imazen-26-png/1400-lilith-nature/1496_nature_lake-with-boats_winthrop-maine_ip13pro_iso50-f1p5_fullsizerender-2_3411x2765.sdr.png	128	104	0.0133	1400-lilith-nature	1496.scale128x104
108	0.0013	/mnt/v/output/imazen-26-png/1400-lilith-nature/1498_nature_yellow-flowers-garden-bed_colorado_ip13pro_iso50-f1p5_fullsizerender_2773x3709.sdr.png	96	128	0.0123	1400-lilith-nature	1498.scale96x128
109	0.0013	/mnt/v/output/imazen-26-png/1400-lilith-nature/1500_nature_snowy-trail-tracks_colorado_hero7_iso100-f2p8_g0049019_4000x3000.sdr.png	128	96	0.0123	1400-lilith-nature	1500.scale128x96
110	0.0013	/mnt/v/output/imazen-26-png/1400-lilith-nature/1502_nature_ice-cave-opening_hornafjordur-iceland_ip13pro_iso32-f1p8_img-0341_4032x3024.sdr.png	96	128	0.0123	1400-lilith-nature	1502.scale96x128
111	0.0014	/mnt/v/output/imazen-26-png/1400-lilith-nature/1504_nature_cloudy-sky-over-field_colorado_ip13pro_iso50-f1p5_img-0374_4032x3024.sdr.png	128	96	0.0123	1400-lilith-nature	1504.scale128x96
